Date, Open, High, Low, Close, Settle Price, NO_CONTRACTS, Turnover(in lacs), OI,H-O,O-L
13-Aug-18,11407.25,11455,11383.15,11411.6,11411.6,5396,46188.09,1370100,47.75,24.1
10-Aug-18,11500.1,11510,11464,11470.65,11470.65,2903,25003.87,1341750,9.9,36.1
09-Aug-18,11508.65,11530,11497.55,11517.75,11517.75,2478,21395.81,1279500,21.35,11.1
08-Aug-18,11459.4,11504,11427.7,11496.55,11496.55,3539,30466.05,1211550,44.6,31.7
07-Aug-18,11448,11467.9,11404.5,11446.95,11446.95,2533,21735.47,1181550,19.9,43.5
06-Aug-18,11440,11469.5,11414.45,11439.25,11439.25,3056,26228.45,1129425,29.5,25.55
03-Aug-18,11339.4,11428.4,11334,11419.55,11419.55,3733,31879.07,1098975,89,5.4
02-Aug-18,11352.3,11361.5,11297.55,11305.3,11305.3,2482,21087.88,1046025,9.2,54.75
01-Aug-18,11398,11423.5,11364.95,11398.55,11398.55,3308,28280.98,1039725,25.5,33.05
31-Jul-18,11349.25,11400,11313.45,11393.2,11393.2,3243,27598.48,1006875,50.75,35.8
30-Jul-18,11330,11365.5,11304.65,11359.2,11359.2,3375,28706.56,967500,35.5,25.35
27-Jul-18,11254,11328.95,11238.65,11323.75,11323.75,4077,34519.05,973950,74.95,15.35
26-Jul-18,11170.15,11223.9,11170.1,11216.35,11216.35,5748,48307.34,922200,53.75,0.05
25-Jul-18,11180.25,11202.7,11155.9,11172.75,11172.75,4015,33659.13,739875,22.45,24.35
24-Jul-18,11140.65,11180,11130.15,11177.2,11177.2,4720,39524.94,660300,39.35,10.5
23-Jul-18,11012.5,11140,11012.5,11130.25,11130.25,2105,17509.44,472125,127.5,0
20-Jul-18,10984.5,11066.85,10984.5,11050.4,11050.4,2227,18446.85,443700,82.35,0
19-Jul-18,11025,11038.9,10975,11003.1,11003.1,637,5258.24,359700,13.9,50
18-Jul-18,11080,11102.65,10983.1,11006.3,11006.3,1826,15149.53,358125,22.65,96.9
17-Jul-18,10970,11065,10958.4,11053,11053,1442,11922.49,342450,95,11.6
16-Jul-18,11034.3,11049.8,10964.15,10977.15,10977.15,1971,16281.76,328800,15.5,70.15
13-Jul-18,11053,11084,11022.35,11051.25,11051.25,1170,9696.83,317325,31,30.65
12-Jul-18,11002.7,11100,11002.7,11050.35,11050.35,1924,15961.86,307725,97.3,0
11-Jul-18,10974.8,11000,10954.65,10973.2,10973.2,461,3793.53,278325,25.2,20.15
10-Jul-18,10917.9,10993.7,10915.95,10981.85,10981.85,929,7635.23,272475,75.8,1.95
09-Jul-18,10851.35,10901.25,10849.5,10895.7,10895.7,3607,29430.66,260775,49.9,1.85
06-Jul-18,10770.85,10845.65,10765,10809.55,10809.55,688,5584.84,87300,74.8,5.85
05-Jul-18,10804,10820.25,10770,10788.1,10788.1,298,2412.82,72675,16.25,34
04-Jul-18,10743,10811.7,10705,10807.9,10807.9,876,7080.12,72075,68.7,38
03-Jul-18,10670.5,10764,10670,10757.55,10757.55,608,4896.49,53550,93.5,0.5
02-Jul-18,10722,10722,10632.95,10693.85,10693.85,473,3786.01,29775,0,89.05
