Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"GAIL","334.00","339.80","330.85","339.50","6.95","2.09","17.15","57.35","389.63","259.99","-17.74","-20.15"
"MCDOWELL-N","3,497.40","3,580.00","3,496.20","3,559.50","71.00","2.04","4.07","144.46","4,005.15","1,837.70","84.33","14.55"
"M&M","823.90","844.00","822.10","839.70","15.40","1.87","28.73","239.46","844.00","612.00","-33.60","12.48"
"ICICIBANK","279.35","286.60","279.35","284.50","5.10","1.83","154.12","438.34","365.70","241.09","16.49","1.01"
"RBLBANK","502.95","513.00","502.95","511.10","8.65","1.72","8.23","41.97","600.90","443.30","-9.36","9.90"
"ADANIPORTS","387.25","394.50","387.10","393.00","6.65","1.72","30.93","121.00","452.35","318.00","18.73","7.63"
"PAGEIND","24,300.00","24,600.00","23,955.75","24,360.00","404.25","1.69","0.14","33.30","25,789.95","13,825.10","75.37","14.31"
"BALRAMCHIN","70.50","71.50","68.35","69.80","1.15","1.68","93.40","65.08","182.50","65.60","-57.98","-16.36"
"JINDALSTEL","246.20","254.40","243.10","254.00","4.10","1.64","58.44","145.31","294.30","102.70","122.71","17.08"
"HDFC","1,836.90","1,867.50","1,834.50","1,857.35","26.50","1.45","23.81","441.90","1,986.05","1,503.45","21.34","1.49"
"LT","1,355.70","1,382.20","1,352.00","1,379.35","19.35","1.42","10.03","137.23","1,470.00","1,107.53","19.41","6.32"
"BAJFINANCE","1,908.00","1,933.25","1,898.60","1,926.00","26.65","1.40","7.85","150.42","1,985.90","1,190.55","51.44","10.59"
"JETAIRWAYS","620.00","631.60","618.50","626.20","8.00","1.29","22.12","138.17","883.45","438.25","22.52","1.59"
"CADILAHC","402.90","408.70","398.05","404.00","5.05","1.27","19.36","78.30","560.00","362.00","-10.75","4.37"
"JSWSTEEL","317.50","326.00","316.35","325.85","4.05","1.26","40.79","131.13","327.80","184.10","69.27","10.87"
"WOCKPHARMA","793.40","835.90","785.60","802.10","9.85","1.24","44.96","368.11","1,012.00","530.65","9.51","11.90"
"BAJAJ-AUTO","2,856.10","2,897.30","2,850.00","2,886.85","34.70","1.22","2.62","75.38","3,468.35","2,694.50","0.67","1.34"
"MOTHERSUMI","352.00","359.50","351.30","355.70","3.80","1.08","40.62","144.69","395.60","253.53","39.13","12.63"
"INFRATEL","327.00","334.60","315.65","331.40","3.40","1.04","49.79","162.19","482.80","315.65","-7.49","-3.65"
"LUPIN","815.85","832.95","814.00","819.40","7.55","0.93","21.65","178.63","1,405.00","727.10","-39.82","10.71"
"SHREECEM","17,117.25","17,315.80","17,041.05","17,275.00","157.75","0.92","0.07","11.47","20,538.00","15,652.15","-7.14","6.15"
"GODREJCP","1,124.90","1,132.25","1,117.60","1,125.00","10.15","0.91","3.69","41.57","1,156.00","824.00","35.82","1.98"
"ONGC","182.10","183.05","181.50","182.70","1.65","0.91","40.80","74.50","212.85","155.20","0.69","2.12"
"IBULHSGFIN","1,331.60","1,340.00","1,305.05","1,332.10","11.00","0.83","14.06","186.58","1,440.00","990.00","32.36","10.59"
"MRPL","107.60","108.60","106.45","108.45","0.85","0.79","7.16","7.71","146.70","102.70","-14.81","-2.69"
"BHARTIARTL","401.90","408.60","396.60","406.00","3.15","0.78","62.93","253.32","564.80","336.50","17.80","-3.68"
"IOC","161.05","164.40","160.00","162.95","1.25","0.77","73.13","119.18","231.48","156.75","-61.38","-2.54"
"EICHERMOT","31,150.00","31,500.00","30,950.70","31,301.00","235.80","0.76","0.30","94.13","33,480.00","25,336.80","19.96","12.30"
"L&TFH","165.10","168.15","165.10","167.00","1.25","0.75","37.35","62.32","213.85","119.35","30.21","7.02"
"DRREDDY","2,131.90","2,180.00","2,127.05","2,151.45","15.90","0.74","8.86","191.60","2,787.00","1,901.15","-17.66","2.26"
"CUMMINSIND","737.00","754.70","735.55","740.95","5.40","0.73","3.94","29.41","1,096.80","680.65","-23.70","0.58"
"GRANULES","110.95","113.55","110.00","111.40","0.80","0.72","38.73","43.39","157.25","101.25","-24.06","6.76"
"KAJARIACER","568.45","571.65","563.05","568.40","3.65","0.65","3.94","22.43","789.80","535.30","-14.42","-1.64"
"RAMCOCEM","863.00","869.90","851.05","860.90","5.10","0.60","2.48","21.29","879.10","647.60","24.41","16.34"
"CANFINHOME","435.00","444.00","432.00","438.00","2.60","0.60","6.50","28.54","666.00","402.50","-15.22","-16.40"
"PETRONET","237.00","239.10","235.90","238.45","1.40","0.59","30.67","72.76","275.65","198.20","9.99","5.56"
"GODFRYPHLP","892.15","914.00","887.35","897.25","5.10","0.57","1.62","14.61","1,329.00","785.00","-22.61","10.94"
"SUNPHARMA","515.90","523.50","512.50","517.00","2.75","0.53","34.33","178.36","656.95","432.70","-19.58","2.74"
"HINDPETRO","303.00","308.50","301.90","305.85","1.55","0.51","44.75","136.79","492.80","297.10","-17.56","-8.24"
"TORNTPHARM","1,410.05","1,447.95","1,406.90","1,408.10","7.10","0.51","6.83","97.48","1,475.00","1,141.95","-3.88","12.28"
"DHFL","584.00","595.00","577.00","584.30","2.95","0.51","43.68","256.14","679.00","387.20","39.94","16.28"
"BPCL","376.10","388.45","376.00","383.20","1.85","0.49","63.92","245.08","551.55","369.85","-19.59","-8.66"
"JISLJALEQS","112.85","113.85","111.40","113.10","0.55","0.49","33.06","37.26","150.40","82.60","1.57","3.67"
"GSFC","132.20","133.75","130.50","130.95","0.60","0.46","22.12","29.24","166.40","112.50","9.26","12.16"
"INDIGO","1,480.00","1,497.00","1,463.75","1,493.00","6.60","0.44","5.31","78.60","1,520.00","1,004.00","33.19","16.38"
"CONCOR","1,338.00","1,348.95","1,324.95","1,335.80","5.55","0.42","6.09","81.12","1,500.00","1,096.10","10.96","11.49"
"SOUTHBANK","25.65","26.05","25.60","25.75","0.10","0.39","86.92","22.49","34.75","22.25","3.62","10.75"
"HINDUNILVR","1,464.00","1,469.75","1,445.70","1,458.30","5.55","0.38","12.18","177.17","1,472.15","898.55","61.22","10.12"
"INDUSINDBK","1,878.90","1,887.90","1,855.60","1,880.50","6.10","0.33","11.10","207.68","1,887.90","1,375.20","31.18","6.86"
"AXISBANK","506.00","514.75","503.35","507.75","1.55","0.31","45.64","231.64","627.60","447.50","1.82","0.09"
"FEDERALBNK","97.45","99.50","97.00","97.45","0.30","0.31","62.39","61.13","127.65","87.30","4.90","6.44"
"NBCC","206.75","209.20","206.05","206.70","0.60","0.29","9.30","19.29","291.30","178.20","5.92","8.50"
"CIPLA","601.00","604.90","595.10","601.60","1.45","0.24","27.83","167.22","663.40","480.20","8.00","11.04"
"STAR","651.90","658.90","641.45","649.80","1.55","0.24","5.03","32.75","1,134.00","627.10","-41.11","-4.72"
"DIVISLAB","1,189.70","1,208.75","1,171.90","1,181.00","2.55","0.22","7.30","86.62","1,208.75","532.65","86.03","11.92"
"HCC","24.45","24.85","24.25","24.50","0.05","0.20","38.81","9.54","48.10","21.75","-46.62","4.26"
"COALINDIA","289.00","293.95","287.15","290.35","0.55","0.19","18.30","53.24","316.95","233.70","4.76","6.18"
"CEATLTD","1,560.75","1,589.45","1,555.00","1,560.70","2.95","0.19","5.51","86.52","2,019.00","1,413.05","7.28","7.09"
"MARUTI","9,095.00","9,142.55","9,031.00","9,080.00","15.15","0.17","3.12","283.51","9,996.40","6,200.00","43.71","3.59"
"TORNTPOWER","240.60","245.25","239.65","240.55","0.35","0.15","9.43","22.77","307.35","171.50","3.57","2.80"
"TATAELXSI","1,208.00","1,223.95","1,184.00","1,205.00","1.70","0.14","12.82","154.29","1,244.50","641.18","52.46","23.29"
"MARICO","317.65","319.70","314.60","317.35","0.40","0.13","12.61","40.12","348.70","284.15","5.26","-3.73"
"DALMIABHA","3,025.00","3,068.10","2,991.35","3,006.00","3.70","0.12","1.30","39.33","3,350.00","2,055.75","42.39","6.17"
"TATAMTRDVR","185.50","189.55","185.50","188.30","0.20","0.11","25.01","47.04","294.30","182.40","-30.38","1.26"
"TITAN","966.00","971.30","954.25","964.00","1.05","0.11","14.73","141.85","999.70","460.10","99.85","2.66"
"SREINFRA","87.80","89.00","86.45","87.10","0.10","0.11","18.78","16.47","138.00","69.50","-3.76","18.02"
"GLENMARK","584.00","589.40","575.25","580.15","0.50","0.09","7.90","46.02","908.90","517.05","-34.21","7.62"
"AMBUJACEM","247.40","249.50","245.55","247.80","0.20","0.08","13.21","32.69","291.50","223.00","0.45","7.23"
"SIEMENS","1,091.00","1,099.55","1,080.00","1,089.50","0.75","0.07","3.35","36.56","1,471.35","1,055.05","-17.34","-1.23"
"TATAGLOBAL","283.00","288.00","281.80","283.70","0.10","0.04","21.31","60.75","328.75","140.20","86.71","8.20"
"EQUITAS","149.60","151.25","149.10","149.50","0.05","0.03","6.89","10.34","183.60","129.30","-11.46","4.91"
"ITC","276.00","278.85","274.65","275.50","0.00","0.00","84.49","233.84","367.70","250.00","-0.45","6.74"
"HEROMOTOCO","3,740.00","3,744.00","3,706.30","3,718.00","-0.20","-0.01","3.34","124.11","4,091.95","3,186.50","16.03","6.79"
"SRF","2,209.90","2,221.45","2,175.70","2,212.80","-0.50","-0.02","0.84","18.55","2,231.70","1,415.25","29.07","14.91"
"HDFCBANK","1,935.00","1,948.05","1,926.00","1,934.10","-1.65","-0.09","12.59","243.76","2,015.00","1,468.45","26.16","2.15"
"POWERGRID","208.20","208.20","204.80","206.60","-0.20","-0.10","20.22","41.70","226.60","189.00","0.85","6.00"
"BATAINDIA","785.00","804.55","781.50","784.85","-1.10","-0.14","8.69","68.85","832.80","510.70","35.12","5.65"
"DABUR","359.65","362.80","355.65","357.10","-0.50","-0.14","7.40","26.55","368.60","265.00","21.73","13.17"
"NCC","129.80","131.40","128.40","129.00","-0.20","-0.15","25.67","33.24","141.40","76.20","30.43","9.00"
"BRITANNIA","5,330.00","5,343.10","5,251.10","5,304.00","-9.05","-0.17","0.58","30.72","5,420.45","3,360.00","56.55","9.18"
"TATAPOWER","85.40","86.25","84.55","85.25","-0.15","-0.18","50.07","42.63","101.80","75.80","-0.87","6.70"
"CHENNPETRO","330.70","336.50","329.05","330.15","-0.60","-0.18","3.44","11.43","480.50","310.50","-10.44","4.07"
"MRF","77,600.00","79,060.00","77,600.00","77,818.45","-143.00","-0.18","0.04","29.65","80,102.00","61,000.00","21.60","11.23"
"MINDTREE","1,005.00","1,011.80","978.00","998.50","-2.10","-0.21","40.12","398.57","1,027.70","439.05","121.67","29.36"
"MCX","785.95","798.00","781.55","783.90","-1.65","-0.21","3.28","25.90","1,248.00","665.10","-32.50","13.81"
"INFIBEAM","169.60","172.45","168.75","169.25","-0.35","-0.21","36.32","61.98","195.90","87.15","54.25","13.36"
"ULTRACEMCO","4,168.00","4,173.70","4,096.00","4,135.00","-8.70","-0.21","3.78","156.33","4,599.90","3,773.30","-0.16","4.68"
"TVSMOTOR","664.20","671.10","660.55","662.00","-1.45","-0.22","7.27","48.27","794.45","480.45","36.30","6.91"
"AJANTPHARM","1,383.00","1,417.45","1,372.45","1,380.00","-3.20","-0.23","1.95","27.25","1,731.40","1,120.05","-16.36","-1.90"
"NTPC","173.55","174.65","172.10","173.20","-0.40","-0.23","16.70","28.87","188.00","153.15","3.99","1.97"
"ACC","1,570.00","1,581.95","1,557.45","1,561.00","-4.30","-0.27","1.72","26.94","1,869.95","1,498.95","-2.86","1.82"
"JUBLFOOD","2,490.00","2,490.00","2,432.85","2,454.00","-6.55","-0.27","3.43","84.15","2,538.70","817.20","133.69","4.69"
"APOLLOTYRE","289.00","293.00","286.60","288.30","-0.80","-0.28","22.03","63.78","307.25","217.25","19.38","7.72"
"ORIENTBANK","89.80","90.75","88.65","89.70","-0.25","-0.28","14.62","13.09","191.00","83.95","-42.68","-2.23"
"GRASIM","1,090.10","1,097.65","1,078.95","1,082.00","-3.10","-0.29","5.78","62.69","1,375.00","1,012.15","-8.31","0.13"
"SAIL","78.25","79.40","77.55","79.30","-0.25","-0.31","76.15","59.80","101.45","52.85","31.73","10.99"
"MGL","910.80","918.00","906.15","908.75","-2.80","-0.31","4.85","44.27","1,377.50","890.00","-9.78","-6.26"
"BERGEPAINT","268.00","269.70","264.15","267.00","-0.95","-0.35","4.05","10.78","286.30","230.55","6.57","7.90"
"UBL","1,119.00","1,129.90","1,095.00","1,113.00","-4.20","-0.38","2.03","22.57","1,243.00","744.85","45.84","15.59"
"M&MFIN","518.95","525.90","503.55","509.80","-2.05","-0.40","21.51","110.54","525.90","289.95","48.74","16.02"
"PIDILITIND","1,067.50","1,080.50","1,063.35","1,063.75","-4.30","-0.40","4.12","44.21","1,080.50","710.05","48.40","17.24"
"CGPOWER","82.10","83.45","82.10","82.20","-0.35","-0.42","7.96","6.59","99.15","67.50","3.01","7.66"
"KOTAKBANK","1,172.45","1,172.45","1,153.65","1,164.00","-5.00","-0.43","9.92","115.34","1,177.50","876.30","29.95","11.99"
"ASHOKLEY","159.90","161.75","158.20","158.75","-0.70","-0.44","184.48","295.15","161.75","81.50","81.95","9.94"
"TATACHEM","729.00","735.65","723.80","728.35","-3.40","-0.46","2.44","17.81","782.00","560.40","14.56","7.32"
"COLPAL","1,109.00","1,114.95","1,096.00","1,100.10","-5.10","-0.46","4.05","44.62","1,178.35","966.75","6.15","5.40"
"NMDC","123.60","125.00","121.10","123.90","-0.60","-0.48","22.21","27.42","162.70","102.80","-5.13","1.43"
"JPASSOCIAT","20.25","20.70","19.70","20.20","-0.10","-0.49","538.91","109.24","30.45","9.15","52.45","10.99"
"HDIL","39.10","39.70","38.35","39.10","-0.20","-0.51","99.00","38.64","101.80","38.10","-58.40","0.26"
"TATACOMM","632.05","639.25","627.50","630.30","-3.30","-0.52","2.66","16.86","776.00","570.45","-11.13","1.61"
"ARVIND","425.00","427.90","417.30","423.00","-2.20","-0.52","10.00","42.25","478.50","353.25","4.85","9.29"
"PFC","85.70","86.25","85.00","85.20","-0.45","-0.53","36.12","30.82","168.40","83.30","-46.23","-2.01"
"REPCOHOME","613.00","616.50","607.70","609.35","-3.35","-0.55","1.79","10.94","924.00","510.00","-20.24","11.69"
"INDIANB","310.90","312.30","304.30","307.65","-1.70","-0.55","7.21","22.16","427.40","253.05","7.91","5.23"
"IDFC","53.65","53.70","52.95","53.20","-0.30","-0.56","13.48","7.17","68.90","48.30","-7.72","8.46"
"PVR","1,375.95","1,388.00","1,362.60","1,366.00","-8.25","-0.60","2.38","32.69","1,655.00","1,142.05","-13.20","11.38"
"RECLTD","128.30","128.75","127.20","127.30","-0.80","-0.62","13.17","16.83","223.90","120.75","-38.17","1.56"
"IDEA","71.30","71.60","70.15","71.20","-0.45","-0.63","105.63","74.80","118.90","70.10","-16.24","-11.39"
"BEML","1,067.00","1,077.95","1,051.90","1,060.70","-7.00","-0.66","4.16","44.35","1,947.00","995.60","-23.21","0.41"
"TATAMOTORS","334.80","335.00","330.60","331.85","-2.20","-0.66","92.11","306.48","488.25","324.30","-25.23","-0.15"
"CASTROLIND","201.00","201.30","198.00","199.40","-1.35","-0.67","11.79","23.47","226.40","171.50","-55.38","-0.77"
"HINDZINC","320.10","322.65","317.35","321.00","-2.20","-0.68","20.87","66.82","340.20","226.85","16.62","5.75"
"BOSCHLTD","19,689.90","19,824.90","19,450.05","19,556.25","-136.85","-0.69","0.14","26.96","25,240.00","16,975.00","-13.01","13.10"
"SBIN","242.00","243.40","239.60","240.70","-1.75","-0.72","94.86","228.92","351.30","232.35","-15.85","-2.35"
"OFSS","4,293.95","4,336.70","4,184.50","4,213.95","-30.95","-0.73","0.26","10.86","4,379.20","3,372.25","17.26","12.42"
"MANAPPURAM","120.40","120.95","118.40","118.80","-0.90","-0.75","11.66","13.93","126.40","82.10","25.91","9.29"
"NESTLEIND","8,919.90","9,020.85","8,808.15","8,838.45","-66.90","-0.75","0.51","45.28","9,250.00","6,267.75","40.57","12.89"
"JUSTDIAL","451.00","455.00","443.85","447.50","-3.65","-0.81","11.46","51.32","647.00","327.55","-15.24","-2.09"
"BHARATFIN","1,170.00","1,170.00","1,137.50","1,150.05","-9.50","-0.82","10.52","121.04","1,170.00","651.00","46.41","6.56"
"INDIACEM","150.05","151.80","147.40","148.95","-1.25","-0.83","21.21","31.68","226.25","135.70","-26.02","5.45"
"TCS","3,410.00","3,443.15","3,342.50","3,380.00","-28.65","-0.84","41.57","1,407.49","3,557.90","2,268.00","45.18","19.99"
"EXIDEIND","244.80","249.95","240.85","242.75","-2.10","-0.86","21.66","53.31","250.00","192.40","3.01","9.03"
"KSCL","542.00","548.25","535.35","536.00","-4.70","-0.87","3.25","17.66","708.00","431.20","-6.33","11.00"
"GODREJIND","597.25","601.35","588.00","592.05","-5.20","-0.87","2.64","15.65","699.00","512.55","13.75","9.81"
"AUROPHARMA","646.95","653.00","632.70","636.90","-5.65","-0.88","28.57","183.69","809.45","503.05","1.52","15.73"
"HAVELLS","545.30","547.00","538.40","541.25","-4.85","-0.89","5.30","28.73","592.50","433.60","11.79","10.20"
"IRB","265.40","269.60","261.10","262.10","-2.35","-0.89","29.24","77.49","282.40","193.50","6.22","19.71"
"ASIANPAINT","1,177.50","1,182.45","1,161.90","1,168.05","-10.65","-0.90","4.84","56.78","1,262.00","1,063.70","9.17","4.52"
"BEL","138.10","138.55","135.30","136.00","-1.25","-0.91","30.91","42.17","193.40","130.50","-17.69","-4.86"
"UPL","753.40","753.40","739.90","746.70","-7.10","-0.94","12.04","89.96","902.50","672.50","-5.99","3.08"
"BHEL","89.00","90.10","88.00","88.45","-0.85","-0.95","38.59","34.39","121.83","79.85","-24.70","7.54"
"CHOLAFIN","1,707.00","1,728.50","1,632.70","1,650.00","-16.75","-1.00","9.27","154.90","1,728.50","985.25","50.52","14.79"
"CENTURYTEX","1,238.50","1,252.00","1,217.30","1,227.00","-12.95","-1.04","5.67","70.00","1,471.20","1,013.00","7.06","7.25"
"RELCAPITAL","430.80","432.25","415.35","425.00","-4.45","-1.04","30.67","130.05","879.90","393.60","-30.61","2.14"
"KTKBANK","119.30","119.70","116.80","117.55","-1.25","-1.05","15.09","17.88","181.00","108.00","-24.31","-0.76"
"PNB","94.40","94.65","92.90","93.10","-1.00","-1.06","117.44","109.92","231.45","91.25","-39.99","-2.82"
"ADANIENT","140.55","141.30","136.85","138.25","-1.50","-1.07","36.20","50.18","223.50","104.80","-7.86","-15.57"
"SYNDIBANK","55.70","55.70","54.50","54.60","-0.60","-1.09","31.89","17.52","95.90","51.85","-26.22","-2.24"
"TATASTEEL","594.45","601.80","589.40","600.00","-6.60","-1.09","59.53","354.28","748.11","403.77","33.13","3.17"
"ZEEL","597.80","601.75","588.00","588.70","-6.55","-1.10","13.54","80.32","619.00","458.10","12.23","0.49"
"BHARATFORG","759.00","760.70","747.05","751.30","-8.60","-1.13","5.50","41.48","798.00","510.25","32.66","7.47"
"CAPF","643.00","643.00","629.00","631.20","-7.60","-1.19","2.72","17.24","901.85","609.80","-18.16","2.05"
"LICHSGFIN","540.00","552.55","540.00","543.80","-6.65","-1.21","30.44","165.81","794.00","476.60","-17.36","-0.06"
"AMARAJABAT","860.95","866.40","844.00","850.00","-10.40","-1.21","5.32","45.66","941.00","664.55","-2.92","8.38"
"PEL","2,621.05","2,631.05","2,560.00","2,571.00","-31.65","-1.22","1.12","28.86","3,058.37","2,275.00","5.12","6.82"
"UNIONBANK","93.00","94.10","91.65","92.70","-1.15","-1.23","47.99","44.57","205.10","86.00","-41.88","1.76"
"SUNTV","878.00","892.25","861.95","868.00","-11.40","-1.30","11.62","101.64","1,097.80","652.45","-6.62","0.36"
"SUZLON","11.40","11.50","11.20","11.25","-0.15","-1.32","173.42","19.67","22.25","10.60","-43.75","1.81"
"UJJIVAN","395.30","402.95","391.75","395.70","-5.50","-1.37","9.81","38.91","422.60","285.00","-1.93","12.78"
"IDFCBANK","48.50","48.65","47.60","47.80","-0.70","-1.44","63.82","30.65","71.15","47.15","-18.64","0.63"
"IFCI","20.40","20.40","19.80","20.10","-0.30","-1.47","52.44","10.53","34.60","19.05","-32.44","3.61"
"DCBBANK","194.55","198.55","192.75","193.45","-3.00","-1.53","16.59","32.38","213.00","155.05","6.32","18.72"
"ESCORTS","960.00","963.85","937.05","942.65","-15.05","-1.57","10.41","98.35","994.50","542.60","71.19","16.91"
"BANKINDIA","102.20","103.10","100.65","100.85","-1.65","-1.61","47.17","47.99","216.80","91.35","-34.24","-1.18"
"KPIT","246.50","246.75","239.65","241.85","-3.95","-1.61","11.33","27.43","250.90","104.05","84.34","10.06"
"BANKBARODA","143.50","144.55","141.40","141.70","-2.45","-1.70","49.92","71.23","206.65","128.10","-20.79","0.14"
"ALBK","49.25","49.50","47.50","48.40","-0.85","-1.73","22.36","10.86","92.40","43.30","-35.21","0.00"
"PCJEWELLER","295.00","296.90","288.10","289.35","-5.35","-1.82","19.14","55.90","600.65","208.00","37.93","-9.51"
"CANBK","263.00","264.85","257.75","258.20","-4.95","-1.88","63.81","166.51","463.70","225.20","-21.47","-4.55"
"ADANIPOWER","25.85","25.90","24.90","25.35","-0.50","-1.93","94.08","23.87","47.80","23.10","-23.76","5.41"
"RELINFRA","455.00","458.60","434.05","441.00","-8.75","-1.95","33.02","147.15","620.05","390.55","-24.63","3.81"
"APOLLOHOSP","1,133.00","1,133.00","1,101.00","1,109.95","-22.25","-1.97","3.32","36.90","1,358.00","957.15","-4.53","10.44"
"VOLTAS","655.90","655.95","636.15","641.00","-13.60","-2.08","11.17","71.70","675.30","403.40","54.36","4.41"
"VEDL","293.00","299.80","288.00","298.65","-6.40","-2.10","148.85","438.66","355.70","217.75","28.87","5.42"
"VGUARD","243.75","246.75","237.15","239.00","-5.20","-2.13","8.82","21.26","254.90","165.00","27.20","5.73"
"NHPC","28.15","28.30","27.40","27.55","-0.60","-2.13","31.22","8.67","34.50","25.50","-13.36","2.23"
"PTC","92.95","92.95","88.80","89.50","-2.05","-2.24","11.08","9.99","130.45","82.60","-6.96","4.86"
"DISHTV","77.40","78.50","75.50","76.00","-1.75","-2.25","63.74","49.05","102.30","63.70","-18.24","5.19"
"HEXAWARE","435.00","437.00","423.60","424.80","-10.15","-2.33","9.96","42.70","444.30","210.00","92.92","13.49"
"HCLTECH","1,084.90","1,099.75","1,058.10","1,062.20","-25.80","-2.37","19.97","214.22","1,108.00","796.20","29.61","9.84"
"ANDHRABANK","39.40","39.40","37.50","38.35","-1.05","-2.66","64.28","24.61","76.10","31.95","-36.98","-7.26"
"IDBI","69.30","69.95","66.80","67.45","-1.85","-2.67","104.26","71.14","91.50","50.20","-8.67","-6.64"
"INFY","1,185.00","1,196.40","1,150.10","1,154.25","-33.45","-2.82","42.63","498.20","1,221.05","860.00","24.58","-0.09"
"BALKRISIND","1,287.90","1,287.90","1,236.95","1,245.05","-36.65","-2.86","5.35","67.11","1,352.20","707.50","-13.16","11.70"
"TECHM","695.00","699.75","680.00","680.30","-21.70","-3.09","27.28","187.69","729.50","356.65","58.49","9.66"
"WIPRO","294.40","295.65","286.15","287.05","-10.30","-3.46","35.41","102.48","334.00","242.30","16.79","4.76"
"RPOWER","38.30","38.45","35.60","36.75","-1.55","-4.05","90.27","33.19","65.20","34.60","-26.06","-0.41"
"NIITTECH","1,043.45","1,044.20","990.00","990.80","-44.90","-4.34","28.31","284.67","1,088.55","420.45","130.90","9.91"
"TV18BRDCST","67.40","68.60","63.60","64.00","-3.15","-4.69","302.13","198.38","70.80","33.05","51.84","-4.69"
"HINDALCO","239.00","239.00","231.10","236.60","-19.00","-7.43","351.18","825.37","284.00","181.60","24.00","12.37"
"NATIONALUM","79.00","79.30","75.70","78.25","-6.60","-7.78","319.22","247.56","97.60","60.70","16.36","16.01"
"RCOM","19.90","20.10","16.85","18.00","-1.95","-9.77","1,200.63","219.12","40.15","9.60","-47.67","-23.08"
"RNAVAL","24.50","26.10","22.45","23.35","-3.60","-13.36","244.82","59.08","72.65","22.45","-","-"
