Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"HINDZINC","327.00","327.50","319.30","323.50","-4.15","-1.27","17.74","57.14","340.20","226.85","14.57","3.89"
"GRASIM","1,102.80","1,106.05","1,082.00","1,086.15","-14.65","-1.33","6.74","73.58","1,375.00","1,012.15","-5.34","-0.78"
"SOUTHBANK","25.85","26.15","25.55","25.70","-0.35","-1.34","71.65","18.47","34.75","22.10","14.73","7.53"
"PAGEIND","24,300.00","24,438.90","23,851.05","23,993.90","-328.05","-1.35","0.12","28.31","25,789.95","13,825.10","70.68","15.29"
"RECLTD","129.10","130.30","127.55","127.70","-1.80","-1.39","16.12","20.79","223.90","120.75","-36.29","-1.84"
"VEDL","307.70","311.45","304.00","304.30","-4.30","-1.39","70.59","217.11","355.70","217.75","30.29","6.49"
"DISHTV","78.30","80.00","77.10","77.30","-1.10","-1.40","50.96","40.15","102.30","63.70","-22.23","17.12"
"TATAMTRDVR","190.00","191.80","187.90","188.05","-2.75","-1.44","25.39","48.02","294.30","182.40","-30.70","-0.21"
"BALKRISIND","1,300.70","1,303.75","1,278.00","1,280.00","-18.80","-1.45","3.83","49.32","1,352.20","697.63","-9.85","18.08"
"DIVISLAB","1,199.95","1,199.95","1,175.05","1,176.50","-17.75","-1.49","3.35","39.64","1,203.40","532.65","86.48","8.34"
"NBCC","208.10","208.40","205.40","205.60","-3.25","-1.56","11.44","23.64","291.30","178.20","7.36","4.82"
"NATIONALUM","86.40","87.05","84.55","84.70","-1.35","-1.57","114.17","97.70","97.60","60.70","24.83","30.61"
"CEATLTD","1,578.40","1,578.40","1,548.10","1,557.85","-25.55","-1.61","6.46","100.87","2,019.00","1,413.05","6.26","2.78"
"NCC","131.10","133.55","128.35","129.80","-2.20","-1.67","25.73","33.74","141.40","76.20","34.86","7.01"
"UPL","768.00","774.40","751.80","752.00","-13.75","-1.80","10.65","80.85","902.50","672.50","-3.85","5.19"
