Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"SUNPHARMA","513.00","521.00","511.50","520.05","7.05","1.37","26.87","138.97","699.85","432.70","-24.93","-0.01"
"GODREJIND","571.00","583.90","571.00","582.50","7.55","1.31","2.61","15.07","699.00","512.55","10.31","5.87"
"BAJAJFINSV","5,320.00","5,397.00","5,309.95","5,385.00","68.20","1.28","0.80","42.88","5,790.00","3,801.00","16.76","5.35"
"APOLLOHOSP","1,082.40","1,104.35","1,069.30","1,095.90","13.55","1.25","2.53","27.64","1,358.00","957.15","-6.78","0.53"
"SAIL","76.35","77.90","76.00","77.65","0.95","1.24","100.49","77.43","101.45","52.85","24.84","6.88"
"ASIANPAINT","1,160.00","1,188.50","1,155.00","1,176.45","14.25","1.23","5.51","64.86","1,262.00","1,033.70","9.10","3.47"
"VOLTAS","632.55","648.40","631.00","645.95","7.85","1.23","10.47","67.27","675.30","401.30","59.67","0.80"
"PEL","2,567.00","2,614.00","2,557.00","2,600.00","31.25","1.22","2.36","61.33","3,058.37","2,059.41","16.01","5.86"
"SOUTHBANK","24.80","25.35","24.75","25.30","0.30","1.20","30.61","7.66","34.75","22.10","12.44","-0.39"
"ULTRACEMCO","3,865.15","3,924.05","3,865.15","3,923.80","44.85","1.16","1.81","70.39","4,599.90","3,773.30","-2.38","-7.24"
"MARICO","313.20","319.95","313.20","319.60","3.55","1.12","7.42","23.63","348.70","284.15","6.32","5.06"
"JUSTDIAL","445.00","453.00","439.70","452.90","4.95","1.11","16.48","73.79","647.00","327.55","-13.28","1.94"
"ADANIPORTS","381.75","389.00","379.25","387.30","4.20","1.10","26.82","103.39","452.35","317.60","20.86","1.36"
"MARUTI","9,100.00","9,245.00","9,065.00","9,223.30","99.35","1.09","2.71","248.82","9,996.40","6,021.00","51.75","4.26"
"ASHOKLEY","149.20","152.50","148.65","151.00","1.60","1.07","154.82","233.77","152.50","81.05","82.48","0.87"
"HEXAWARE","407.00","418.00","405.40","416.50","4.40","1.07","10.22","42.32","422.95","199.25","102.23","6.28"
"ANDHRABANK","42.45","43.50","42.10","43.35","0.45","1.05","35.57","15.15","76.10","31.95","-27.81","4.96"
"POWERGRID","197.25","200.90","196.80","199.55","2.05","1.04","54.16","107.66","226.60","189.00","-0.22","2.68"
"DABUR","340.70","344.45","339.70","344.00","3.55","1.04","6.69","22.92","368.60","265.00","19.55","5.85"
"ADANIENT","138.70","141.90","137.00","140.85","1.45","1.04","50.77","70.73","223.50","104.80","20.54","-13.98"
"SUNTV","877.10","895.00","870.90","888.90","9.10","1.03","11.94","105.73","1,097.80","652.45","13.71","-4.58"
"CEATLTD","1,593.00","1,614.30","1,575.10","1,610.00","16.40","1.03","4.66","74.73","2,019.00","1,413.05","10.95","0.61"
"AMARAJABAT","809.70","825.00","805.00","821.40","8.30","1.02","3.28","26.88","941.00","664.55","-5.12","2.05"
"TCS","3,116.00","3,199.95","3,110.75","3,185.05","31.75","1.01","31.35","993.64","3,259.05","2,252.80","36.78","10.33"
"HINDZINC","314.00","318.25","311.45","317.50","3.10","0.99","25.23","79.60","340.20","226.85","12.79","-0.97"
"JINDALSTEL","251.00","256.80","249.35","253.60","2.45","0.98","75.05","190.83","294.30","102.70","107.61","10.14"
"PVR","1,314.00","1,339.80","1,304.00","1,328.05","12.70","0.97","1.70","22.51","1,655.00","1,142.05","-15.12","0.07"
"HDFCBANK","1,920.00","1,950.00","1,919.85","1,943.50","18.50","0.96","7.12","138.04","2,015.00","1,428.25","34.94","4.24"
"LT","1,347.90","1,372.00","1,346.15","1,367.75","12.90","0.95","13.05","178.05","1,470.00","1,107.53","22.23","4.95"
"PETRONET","235.00","239.15","233.60","238.25","2.25","0.95","6.80","16.11","275.65","198.20","12.26","0.06"
"MANAPPURAM","119.00","123.45","118.35","122.55","1.15","0.95","31.69","38.61","126.40","82.10","30.93","16.33"
"CENTURYTEX","1,213.00","1,235.00","1,206.45","1,228.30","11.45","0.94","6.00","73.56","1,471.20","1,013.00","13.92","1.51"
"UBL","1,037.00","1,049.90","1,022.10","1,049.00","9.10","0.88","1.74","18.15","1,243.00","717.20","39.18","3.05"
"BHARATFIN","1,146.90","1,160.35","1,143.20","1,153.75","9.20","0.80","3.64","42.06","1,160.35","651.00","49.47","9.01"
"CANFINHOME","439.00","450.90","438.50","447.35","3.40","0.77","6.04","26.95","666.00","402.50","-13.50","-18.59"
"IGL","292.90","296.75","289.05","296.00","2.25","0.77","15.73","46.12","344.90","193.36","43.39","-1.73"
"CHENNPETRO","332.30","341.80","329.10","338.90","2.60","0.77","7.85","26.26","480.50","310.50","-11.96","-6.32"
"PTC","92.15","93.95","91.30","93.30","0.70","0.76","14.63","13.52","130.45","82.60","-4.84","-3.52"
"GRANULES","107.00","108.80","106.80","108.25","0.80","0.74","7.35","7.92","157.25","101.25","-22.12","-1.81"
"RAMCOCEM","827.15","840.20","818.55","837.50","6.10","0.73","4.46","36.81","840.20","647.60","24.24","11.52"
"NESTLEIND","8,704.50","8,780.00","8,650.00","8,750.00","62.50","0.72","0.88","76.74","8,780.00","6,267.75","35.91","14.41"
"HINDALCO","237.20","240.70","235.55","239.50","1.70","0.71","93.26","221.91","284.00","179.35","30.70","5.65"
"PAGEIND","25,100.00","25,446.30","24,860.30","25,300.00","174.50","0.69","0.07","16.47","25,789.95","13,680.00","80.04","17.98"
"CESC","1,025.50","1,042.00","1,022.55","1,037.60","7.00","0.68","2.94","30.38","1,190.00","807.05","25.10","7.11"
"BALKRISIND","1,300.15","1,328.00","1,298.00","1,322.00","8.65","0.66","3.21","42.31","1,328.00","695.00","-5.31","26.12"
"NMDC","124.00","125.25","123.10","124.60","0.80","0.65","34.19","42.52","162.70","102.80","-3.90","0.00"
"RAYMOND","1,060.05","1,078.00","1,057.30","1,071.70","6.50","0.61","4.75","50.84","1,141.95","598.10","68.40","13.44"
"DRREDDY","2,081.20","2,110.00","2,075.00","2,102.50","12.55","0.60","2.90","60.79","2,787.00","1,901.15","-20.39","-3.62"
"HINDUNILVR","1,408.90","1,423.20","1,404.85","1,419.05","8.50","0.60","3.25","45.98","1,423.20","898.55","53.60","7.76"
"HCLTECH","979.00","1,006.75","976.10","997.05","5.80","0.59","19.12","190.02","1,040.70","796.20","23.23","3.32"
"BPCL","405.00","410.85","400.05","407.70","2.30","0.57","55.08","223.68","551.55","399.33","-16.35","-11.91"
"CGPOWER","79.75","81.10","79.25","80.65","0.45","0.56","3.35","2.69","99.15","67.50","1.00","-2.42"
"LICHSGFIN","554.95","565.95","551.85","559.35","3.05","0.55","17.40","97.64","794.00","476.60","-11.53","7.98"
"ZEEL","573.90","581.55","573.65","579.05","3.10","0.54","10.08","58.14","619.00","458.10","11.02","0.42"
"BEML","1,130.00","1,145.00","1,118.35","1,142.20","6.05","0.53","2.71","30.76","1,947.00","995.60","-17.15","3.49"
"CHOLAFIN","1,550.55","1,578.90","1,549.10","1,577.00","8.10","0.52","1.01","15.80","1,578.90","985.25","48.17","7.62"
"GODREJCP","1,063.00","1,084.90","1,063.00","1,077.50","5.60","0.52","6.09","65.51","1,128.00","815.55","28.56","-0.83"
"SHREECEM","16,800.00","17,195.45","16,752.05","17,000.00","76.60","0.45","0.08","13.38","20,538.00","15,652.15","-3.95","0.18"
"SYNDIBANK","57.80","58.50","56.95","58.50","0.25","0.43","26.54","15.32","95.90","51.85","-19.53","-3.62"
"BIOCON","624.50","636.50","618.65","628.00","2.60","0.42","25.43","160.38","657.50","295.03","71.84","3.67"
"YESBANK","307.00","311.10","306.45","310.85","1.30","0.42","108.08","333.39","382.90","275.25","-3.84","-2.51"
"NBCC","209.65","211.70","207.35","211.25","0.80","0.38","7.92","16.67","291.30","175.85","18.25","5.00"
"INFRATEL","334.50","343.40","334.50","340.90","1.20","0.35","41.75","141.88","482.80","320.05","-3.99","0.52"
"BHEL","88.00","88.70","86.85","88.50","0.30","0.34","22.92","20.13","121.83","79.85","-23.40","2.31"
"AUROPHARMA","621.00","631.00","618.00","623.75","2.00","0.32","16.63","104.17","809.45","503.05","-5.21","7.95"
"CAPF","644.00","655.00","641.20","648.60","2.00","0.31","3.16","20.50","901.85","609.80","-17.41","0.03"
"COLPAL","1,090.00","1,102.50","1,087.55","1,100.10","2.95","0.27","1.70","18.62","1,178.35","966.75","8.35","6.33"
"GSFC","128.50","129.95","127.50","128.90","0.35","0.27","19.19","24.73","166.40","112.50","8.78","3.83"
"COALINDIA","284.60","286.80","283.35","285.75","0.75","0.26","12.22","34.92","316.95","233.70","-1.82","-2.51"
"SIEMENS","1,076.15","1,083.55","1,068.00","1,079.00","2.85","0.26","1.39","14.93","1,471.35","1,063.00","-16.91","-4.45"
"GODFRYPHLP","867.00","876.00","861.00","870.05","2.15","0.25","0.32","2.81","1,329.00","785.00","-21.73","0.35"
"HDIL","41.05","42.00","40.80","41.60","0.10","0.24","63.46","26.29","101.80","38.10","-51.46","-6.52"
"ORIENTBANK","96.00","97.05","94.70","97.00","0.20","0.21","18.25","17.50","191.00","83.95","-36.48","-4.10"
"JSWSTEEL","307.40","310.00","306.00","309.10","0.60","0.19","27.42","84.62","320.45","184.10","62.04","2.88"
"INDUSINDBK","1,858.80","1,872.75","1,852.65","1,864.65","3.35","0.18","6.36","118.72","1,872.75","1,375.20","29.70","7.57"
"MCDOWELL-N","3,474.00","3,523.10","3,466.35","3,491.05","6.20","0.18","2.79","97.89","4,005.15","1,830.35","83.56","12.12"
"MRF","77,506.00","78,590.00","77,506.00","78,177.00","85.65","0.11","0.04","34.53","78,590.00","60,300.00","29.08","9.67"
"BOSCHLTD","19,600.00","19,700.00","19,396.00","19,588.00","21.95","0.11","0.09","17.80","25,240.00","16,975.00","-15.83","7.13"
"IDFCBANK","48.60","49.40","48.50","49.00","0.05","0.10","28.90","14.16","71.15","47.15","-18.40","-2.58"
"IDFC","52.10","52.75","52.05","52.45","0.05","0.10","12.73","6.67","68.90","48.30","-9.57","2.54"
"NATIONALUM","77.00","77.70","75.85","76.95","0.05","0.07","108.62","83.66","97.60","60.70","6.14","20.05"
"AXISBANK","541.50","543.80","530.35","542.90","0.35","0.06","64.18","344.34","627.60","447.50","6.96","1.26"
"BHARATFORG","731.60","741.35","728.25","734.50","0.30","0.04","7.66","56.41","798.00","510.25","35.91","-0.83"
"NHPC","27.40","27.50","27.15","27.45","0.00","0.00","36.62","10.01","34.50","25.50","-15.54","2.43"
"IFCI","20.80","20.95","20.60","20.95","0.00","0.00","31.10","6.46","34.60","19.05","-28.50","-4.56"
"RELIANCE","934.45","940.00","928.50","938.10","-0.75","-0.08","40.84","380.90","990.95","647.55","37.47","0.97"
"MRPL","109.45","109.90","108.55","109.35","-0.10","-0.09","7.11","7.76","146.70","108.00","-8.15","-8.11"
"CADILAHC","388.35","394.00","388.15","390.70","-0.45","-0.12","5.63","22.04","560.00","362.00","-13.65","0.51"
"KPIT","226.50","229.85","214.95","229.25","-0.30","-0.13","10.37","23.51","236.35","104.05","77.58","0.02"
"UNIONBANK","97.90","99.25","96.55","98.50","-0.15","-0.15","51.56","50.38","205.10","86.00","-36.49","-3.43"
"INDIGO","1,471.10","1,484.45","1,448.05","1,457.00","-2.40","-0.16","11.52","168.71","1,509.00","1,004.00","33.47","14.80"
"HAVELLS","543.45","551.45","541.20","546.05","-0.95","-0.17","7.49","40.95","592.50","433.60","12.32","5.60"
"TATASTEEL","591.00","596.80","585.15","593.00","-1.05","-0.18","51.46","303.87","748.11","403.77","27.93","-4.44"
"TATAELXSI","1,066.00","1,076.50","1,050.15","1,071.70","-1.90","-0.18","3.61","38.52","1,123.25","641.18","39.32","6.08"
"KTKBANK","125.00","125.50","123.00","125.25","-0.25","-0.20","32.26","40.08","181.00","108.00","-18.77","2.24"
"EICHERMOT","31,400.00","31,400.00","31,000.00","31,286.00","-67.00","-0.21","0.35","109.16","33,480.00","25,321.10","19.94","8.46"
"BALRAMCHIN","72.35","73.25","72.05","72.50","-0.15","-0.21","28.84","20.98","182.50","72.00","-51.88","-18.72"
"IOC","164.40","166.45","162.75","165.00","-0.35","-0.21","127.02","208.92","231.48","159.00","-60.94","-58.23"
"TATAPOWER","86.85","88.25","85.65","87.45","-0.20","-0.23","23.41","20.42","101.80","75.80","3.25","8.77"
"GMRINFRA","20.05","20.50","19.75","20.15","-0.05","-0.25","340.88","68.86","25.05","14.20","29.17","11.94"
"FEDERALBNK","98.30","99.20","97.70","98.40","-0.25","-0.25","50.93","50.16","127.65","87.30","6.26","3.69"
"ICICIBANK","285.00","288.95","284.10","287.50","-0.75","-0.26","168.74","484.77","365.70","241.09","11.83","-6.06"
"RNAVAL","29.05","29.50","28.80","29.50","-0.10","-0.34","25.52","7.45","72.65","27.05","-","-"
"MGL","915.00","916.80","908.00","912.20","-3.40","-0.37","3.26","29.74","1,377.50","905.00","-4.06","-10.29"
"ADANIPOWER","25.55","26.00","25.10","25.65","-0.10","-0.39","285.41","72.84","47.80","23.10","-22.04","-6.04"
"JUBLFOOD","2,473.00","2,502.40","2,463.50","2,482.85","-10.90","-0.44","6.11","151.84","2,522.00","817.20","145.16","19.43"
"NIITTECH","902.10","921.70","898.25","911.20","-4.00","-0.44","7.70","70.19","1,012.45","419.25","113.75","-2.28"
"VEDL","288.05","291.95","286.65","290.35","-1.30","-0.45","75.45","218.10","355.70","217.75","19.19","-8.97"
"TV18BRDCST","66.45","68.15","66.25","67.05","-0.30","-0.45","53.01","35.51","70.80","33.05","53.61","-0.96"
"BANKBARODA","149.00","151.10","147.60","149.75","-0.70","-0.47","82.55","123.30","206.65","128.10","-14.75","2.74"
"IDBI","72.00","72.55","70.20","71.75","-0.35","-0.49","290.07","208.10","91.50","50.20","-2.84","-2.65"
"GAIL","326.00","326.45","321.25","325.20","-1.65","-0.50","15.64","50.59","389.63","259.99","-14.35","-29.00"
"BHARTIARTL","377.00","380.30","374.50","376.00","-1.90","-0.50","37.31","140.82","564.80","332.75","10.51","-11.03"
"CUMMINSIND","731.00","731.05","719.00","727.45","-3.90","-0.53","5.00","36.23","1,096.80","680.65","-25.65","-6.40"
"ONGC","182.20","182.35","179.80","181.50","-1.00","-0.55","23.09","41.81","212.85","155.20","-1.79","0.50"
"BERGEPAINT","270.10","270.80","266.45","270.50","-1.55","-0.57","3.76","10.12","286.30","230.55","14.55","9.12"
"VGUARD","234.00","236.50","233.00","235.55","-1.40","-0.59","2.80","6.59","250.00","165.00","29.49","-0.02"
"CASTROLIND","203.90","205.90","203.50","204.60","-1.35","-0.66","8.75","17.90","226.40","171.50","-52.67","-0.85"
"TECHM","658.10","682.80","657.50","667.00","-4.55","-0.68","39.31","264.38","682.80","356.65","55.13","4.37"
"BANKINDIA","110.00","111.45","108.30","110.30","-0.75","-0.68","55.87","61.40","216.80","91.35","-26.15","7.04"
"HINDPETRO","330.65","336.50","327.30","331.40","-2.35","-0.70","34.99","116.02","492.80","323.50","-11.11","-11.72"
"TITAN","986.00","991.90","973.30","980.00","-7.15","-0.72","22.48","220.23","994.80","460.10","102.42","13.29"
"GLENMARK","580.95","585.40","573.35","577.55","-4.50","-0.77","9.22","53.34","915.90","517.05","-35.02","4.57"
"SBIN","249.35","251.30","247.10","249.00","-1.95","-0.78","164.08","408.75","351.30","232.35","-14.59","-3.13"
"ICICIPRULI","390.00","395.95","388.00","391.40","-3.35","-0.85","9.63","37.64","509.40","363.20","-3.19","2.27"
"CANBK","283.55","285.40","280.30","281.55","-2.40","-0.85","61.10","172.62","463.70","225.20","-10.46","8.46"
"INDIANB","321.00","323.95","315.10","318.15","-2.90","-0.90","8.82","28.11","427.40","251.45","20.69","4.67"
"TORNTPOWER","243.35","244.35","240.50","241.55","-2.25","-0.92","5.12","12.38","307.35","171.50","12.11","-3.75"
"INFIBEAM","170.25","171.85","168.25","170.70","-1.60","-0.93","51.58","87.61","195.90","87.15","66.80","12.64"
"PCJEWELLER","297.20","305.85","297.20","300.80","-2.85","-0.94","34.19","102.98","600.65","205.93","44.60","-18.00"
"OIL","216.70","218.95","213.00","217.40","-2.10","-0.96","4.59","10.01","259.30","171.40","-35.07","-36.22"
"ENGINERSIN","159.00","159.75","157.10","158.40","-1.55","-0.97","12.60","19.90","206.40","140.65","0.35","-6.63"
"RELCAPITAL","441.00","443.15","433.50","440.10","-4.45","-1.00","26.67","116.78","879.90","393.60","-27.16","-1.71"
"RELINFRA","454.95","459.15","450.30","456.85","-5.05","-1.09","14.60","66.47","620.05","390.55","-17.99","1.02"
"IDEA","72.00","72.00","70.65","71.25","-0.90","-1.25","78.85","56.19","118.90","70.65","-17.30","-12.31"
"SUZLON","11.75","11.80","11.60","11.70","-0.15","-1.27","110.71","12.95","22.25","10.60","-41.21","2.18"
"ALBK","52.60","52.70","51.20","52.10","-0.75","-1.42","34.28","17.79","92.40","43.30","-29.40","4.72"
"RPOWER","40.10","40.25","39.30","39.85","-0.60","-1.48","44.25","17.55","65.20","34.60","-16.02","0.25"
"SREINFRA","84.50","86.50","83.90","85.25","-1.30","-1.50","13.99","11.92","138.00","69.50","3.27","3.96"
"WIPRO","289.00","294.00","287.45","289.30","-4.85","-1.65","23.46","68.17","334.00","241.50","16.79","-1.55"
"JETAIRWAYS","617.60","622.70","611.50","612.55","-11.80","-1.89","19.95","122.92","883.45","438.25","22.00","-14.21"
"HCC","25.00","25.25","24.10","24.80","-0.50","-1.98","72.14","17.82","48.10","21.75","-39.59","-22.38"
"TATACOMM","634.00","634.00","614.50","621.40","-13.60","-2.14","12.48","77.19","776.00","570.45","-12.59","-2.79"
"KAJARIACER","578.00","579.90","563.70","568.00","-12.45","-2.14","1.82","10.39","789.80","535.30","-14.62","-0.49"
"MFSL","433.00","437.65","424.00","425.45","-9.35","-2.15","5.14","21.97","683.95","417.30","-35.13","-7.03"
"PNB","100.75","101.75","98.45","99.10","-2.20","-2.17","187.64","187.06","231.45","91.25","-36.60","-0.20"
"BEL","143.10","143.20","138.70","139.40","-3.10","-2.18","58.58","82.14","193.40","138.05","-9.77","-7.77"
"SRTRANSFIN","1,592.20","1,596.95","1,557.10","1,562.95","-44.00","-2.74","9.19","144.34","1,619.90","917.70","48.73","13.57"
"INFY","1,102.00","1,140.00","1,102.00","1,134.50","-36.95","-3.15","123.73","1,392.72","1,221.05","860.00","21.81","-3.92"
"IRB","271.70","274.20","262.15","263.30","-8.90","-3.27","37.25","99.67","282.40","193.50","12.21","19.55"
"TATAMTRDVR","198.00","200.20","192.55","193.25","-9.55","-4.71","22.48","43.83","294.30","182.40","-30.39","-2.08"
"TATAMOTORS","350.80","352.80","337.55","340.00","-17.05","-4.78","191.57","655.86","488.25","324.30","-25.00","-3.97"
"RCOM","22.10","22.45","20.80","21.10","-1.20","-5.38","784.40","168.10","40.15","9.60","-40.98","-11.34"
